  283	112261	dip7
  284	112262	dire8
  285	112263	dirt9
  286	112264	disc0
  287	112265	dish.
  288	112266	disk-
  289	112311	diva+
  290	112312	dive:
  291	112313	doc?
  292	112314	dock!
  293	112315	dog@
  294	112316	dole#
  295	112321	doll$
  296	112322	dome%
  297	112323	done&
  298	112324	door*
  299	112325	dorm~
  300	112326	dose1
  301	112331	dot2
  302	112332	dove3
  303	112333	down4
  304	112334	doze5
  305	112335	drab6
  306	112336	draw7
  307	112341	drew8
  308	112342	drip9
  309	112343	drop0
  310	112344	drug.
  311	112345	drum-
  312	112346	dry+
  313	112351	dual:
  314	112352	duck?
  315	112353	duct!
  316	112354	dude@
  317	112355	duel#
  318	112356	duet$
  319	112361	dug%
  320	112362	duke&
  321	112363	dull*
  322	112364	duly~
  323	112365	dump1
  324	112366	dunk2
  325	112411	duo3
  326	112412	dupe4
  327	112413	dusk5
  328	112414	dust6
  329	112415	duty7
  330	112416	dvd8
  331	112421	each9
  332	112422	ear0
  333	112423	earn.
  334	112424	ease-
  335	112425	east+
  336	112426	easy:
  337	112431	eat?
  338	112432	echo!
  339	112433	edge@
  340	112434	edgy#
  341	112435	edit$
  342	112436	eel%
  343	112441	egg&
  344	112442	ego*
  345	112443	elf~
  346	112444	elk1
  347	112445	elm2
  348	112446	else3
  349	112451	emit4
  350	112452	emu5
  351	112453	envy6
  352	112454	epic7
  353	112455	era8
  354	112456	etc9
  355	112461	euro0
  356	112462	eve.
  357	112463	even-
  358	112464	ever+
  359	112465	exam:
  360	112466	exit?
  361	112511	eye!
  362	112512	face@
  363	112513	fact#
  364	112514	fad$
  365	112515	fade%
  366	112516	fail&
  367	112521	fair*
  368	112522	fake~
  369	112523	fall1
  370	112524	fame2
  371	112525	fan3
  372	112526	fang4
  373	112531	far5
  374	112532	farm6
  375	112533	fast7
  376	112534	fate8
  377	112535	fax9
  378	112536	feat0
  379	112541	fed.
  380	112542	fee-
  381	112543	feed+
  382	112544	feel:
  383	112545	feet?
  384	112546	fell!
  385	112551	felt@
  386	112552	fend#
  387	112553	fern$
  388	112554	feud%
  389	112555	few&
  390	112556	fig*
  391	112561	file~
  392	112562	fill1
  393	112563	film2
  394	112564	find3
  395	112565	fine4
  396	112566	fir5
  397	112611	firm6
  398	112612	fish7
  399	112613	fist8
  400	112614	fit9
  401	112615	five0
  402	112616	fix.
  403	112621	flag-
  404	112622	flap+
  405	112623	flat:
  406	112624	flaw?
  407	112625	flea!
  408	112626	fled@
  409	112631	flee#
  410	112632	flew$
  411	112633	flex%
  412	112634	flip&
  413	112635	flop*
  414	112636	flow~
  415	112641	fly1
  416	112642	foam2
  417	112643	foe3
  418	112644	fog4
  419	112645	foil5
  420	112646	fold6
  421	112651	folk7
  422	112652	fond8
  423	112653	font9
  424	112654	food0
  425	112655	fool.
  426	112656	foot-
  427	112661	for+
